run_index,scenario,seed,simulated_ebitda,simulated_contract_revenue,retained_pct_of_base_contract
255,downside,42,773296.339258,2055032.016455,0.642198
256,downside,42,777985.469842,2078714.494151,0.649598
257,downside,42,824441.711261,2313341.976066,0.722919
258,downside,42,782724.303236,2102647.996143,0.657077
259,downside,42,670055.312954,1533612.691684,0.479254
260,downside,42,690575.556098,1637250.283322,0.511641
261,downside,42,882429.973356,2606211.986649,0.814441
262,downside,42,944937.351173,2921905.814007,0.913096
263,downside,42,814283.833089,2262039.561055,0.706887
264,downside,42,711147.984696,1741151.437857,0.544110
265,downside,42,765675.236209,2016541.597016,0.630169
266,downside,42,709177.120023,1731197.575874,0.540999
267,downside,42,942763.976506,2910929.174272,0.909665
268,downside,42,768927.170289,2032965.506508,0.635302
269,downside,42,798085.525680,2180229.927675,0.681322
270,downside,42,713734.675387,1754215.532259,0.548192
271,downside,42,594965.308944,1154370.247192,0.360741
272,downside,42,901504.821884,2702549.605476,0.844547
273,downside,42,824023.788993,2311231.257541,0.722260
274,downside,42,848259.502247,2433633.849734,0.760511
275,downside,42,851178.648426,2448377.012250,0.765118
276,downside,42,845397.601973,2419179.807944,0.755994
277,downside,42,773082.324670,2053951.134695,0.641860
278,downside,42,761848.762511,1997215.972276,0.624130
279,downside,42,707552.199712,1722990.907635,0.538435
280,downside,42,894795.096266,2668662.102356,0.833957
281,downside,42,868532.353429,2536021.987016,0.792507
282,downside,42,792922.328378,2154153.173629,0.673173
283,downside,42,949785.203221,2946389.915257,0.920747
284,downside,42,895027.579262,2669836.258901,0.834324
285,downside,42,830989.915232,2346413.713294,0.733254
286,downside,42,751579.416084,1945350.586282,0.607922
287,downside,42,761840.380854,1997173.640679,0.624117
288,downside,42,636537.967730,1364333.170354,0.426354
289,downside,42,766997.250864,2023218.438708,0.632256
290,downside,42,713571.054575,1753389.164522,0.547934
291,downside,42,888851.982264,2638646.375070,0.824577
292,downside,42,897969.299883,2684693.433753,0.838967
293,downside,42,549751.828446,926019.335587,0.289381
294,downside,42,764582.601725,2011023.241034,0.628445
