run_index,scenario,seed,simulated_ebitda,simulated_contract_revenue,retained_pct_of_base_contract
128,base,42,945540.545817,2888803.118955,0.902751
129,base,42,985548.659785,3117420.913059,0.974194
130,base,42,968823.817461,3021850.385489,0.944328
131,base,42,939000.196361,2851429.693489,0.891072
132,base,42,828427.324912,2219584.713781,0.693620
133,base,42,893641.293470,2592235.962687,0.810074
134,base,42,990638.119753,3146503.541446,0.983282
135,base,42,983517.932728,3105816.758443,0.970568
136,base,42,914223.111272,2709846.350127,0.846827
137,base,42,902563.136324,2643217.921849,0.826006
138,base,42,896365.397332,2607802.270466,0.814938
139,base,42,966653.557461,3009448.899776,0.940453
140,base,42,945772.703484,2890129.734194,0.903166
141,base,42,858038.238948,2388789.936846,0.746497
142,base,42,998540.571092,3191660.406237,0.997394
143,base,42,987516.440007,3128665.371466,0.977708
144,base,42,957527.097876,2957297.702149,0.924156
145,base,42,981972.054948,3096983.171129,0.967807
146,base,42,889007.813557,2565758.934612,0.801800
147,base,42,775324.213588,1916138.363360,0.598793
148,base,42,1001089.388496,3206225.077121,1.001945
149,base,42,860069.582398,2400397.613701,0.750124
150,base,42,893128.582736,2589306.187060,0.809158
151,base,42,969660.596212,3026631.978354,0.945822
152,base,42,862344.512654,2413397.215163,0.754187
153,base,42,946954.708585,2896884.049054,0.905276
154,base,42,781740.705777,1952804.033010,0.610251
155,base,42,898528.584570,2620163.340400,0.818801
156,base,42,901028.150815,2634446.576087,0.823265
157,base,42,959331.524072,2967608.708983,0.927378
158,base,42,939205.885879,2852605.062164,0.891439
159,base,42,950144.168792,2915109.535956,0.910972
160,base,42,942567.871673,2871816.409558,0.897443
161,base,42,941198.838780,2863993.364459,0.894998
162,base,42,908423.166455,2676703.808314,0.836470
163,base,42,987200.404716,3126859.455522,0.977144
164,base,42,945622.152400,2889269.442287,0.902897
165,base,42,939142.759985,2852244.342771,0.891326
166,base,42,984353.581608,3110591.894903,0.972060
167,base,42,821469.598586,2179826.277637,0.681196
168,base,42,891633.007672,2580760.043840,0.806488
169,base,42,742898.529211,1730848.738347,0.540890
170,base,42,995827.383819,3176156.478965,0.992549
171,base,42,994099.691578,3166283.951877,0.989464
172,base,42,893253.537024,2590020.211566,0.809381
173,base,42,851448.201371,2351132.579262,0.734729
174,base,42,987382.629987,3127900.742781,0.977469
175,base,42,942019.986488,2868685.637074,0.896464
176,base,42,953699.105119,2935423.457824,0.917320
177,base,42,977172.849359,3069559.139194,0.959237
178,base,42,827872.498060,2216414.274631,0.692629
179,base,42,943848.403129,2879133.732164,0.899729
180,base,42,989012.593022,3137214.817267,0.980380
181,base,42,894864.488988,2599225.651359,0.812258
182,base,42,896447.098819,2608269.136107,0.815084
183,base,42,936668.375421,2838105.002405,0.886908
184,base,42,907797.697816,2673129.701806,0.835353
185,base,42,919172.194511,2738126.825777,0.855665
186,base,42,940375.793869,2859290.250680,0.893528
187,base,42,821483.070353,2179903.259161,0.681220
188,base,42,915717.551909,2718386.010910,0.849496
189,base,42,993131.994003,3160754.251443,0.987736
190,base,42,984290.318519,3110230.391540,0.971947
191,base,42,981555.733239,3094604.189939,0.967064
192,base,42,863151.253063,2418007.160359,0.755627
193,base,42,888760.839224,2564347.652708,0.801359
194,base,42,852932.374924,2359613.570997,0.737379
195,base,42,860812.982745,2404645.615687,0.751452
196,base,42,875931.303099,2491036.017708,0.778449
197,base,42,869334.130887,2453337.890785,0.766668
198,base,42,858761.985532,2392925.631610,0.747789
199,base,42,848481.725642,2334181.289384,0.729432
200,base,42,804252.599721,2081443.426979,0.650451
201,base,42,824773.370789,2198704.975936,0.687095
202,base,42,792632.956771,2015045.467263,0.629702
203,base,42,993868.917646,3164965.243692,0.989052
204,base,42,897381.307000,2613607.468574,0.816752
205,base,42,995720.167819,3175543.816107,0.992357
206,base,42,973709.924992,3049770.999957,0.953053
207,base,42,975543.498002,3060248.560013,0.956328
208,base,42,855524.200009,2374424.000050,0.742008
209,base,42,859712.834678,2398359.055302,0.749487
210,base,42,771550.370946,1894573.548265,0.592054
211,base,42,924033.441448,2765905.379704,0.864345
212,base,42,910446.481927,2688265.611014,0.840083
213,base,42,984559.189741,3111766.798522,0.972427
214,base,42,904417.445890,2653813.976516,0.829317
215,base,42,910355.057747,2687743.187124,0.839920
216,base,42,852363.830313,2356364.744647,0.736364
217,base,42,946280.123258,2893029.275757,0.904072
218,base,42,765076.553611,1857580.306346,0.580494
219,base,42,892952.561351,2588300.350575,0.808844
220,base,42,859854.615674,2399169.232423,0.749740
221,base,42,898385.320745,2619344.689973,0.818545
222,base,42,947726.152525,2901292.300145,0.906654
223,base,42,978838.023639,3079074.420797,0.962211
224,base,42,1000089.785654,3200513.060881,1.000160
225,base,42,895501.366100,2602864.949144,0.813395
226,base,42,977664.550580,3072368.860457,0.960115
227,base,42,992340.339179,3156230.509593,0.986322
228,base,42,820775.259201,2175858.624007,0.679956
229,base,42,944685.760157,2883918.629468,0.901225
230,base,42,990217.956424,3144102.608137,0.982532
231,base,42,977584.232126,3071909.897863,0.959972
232,base,42,847700.610007,2329717.771466,0.728037
233,base,42,896777.692259,2610158.241481,0.815674
234,base,42,910117.015088,2686382.943361,0.839495
235,base,42,899255.913179,2624319.503879,0.820100
236,base,42,949057.410621,2908899.489261,0.909031
237,base,42,915160.758815,2715204.336085,0.848501
238,base,42,858825.288737,2393287.364210,0.747902
239,base,42,978977.372134,3079870.697908,0.962460
240,base,42,941281.835399,2864467.630852,0.895146
241,base,42,982539.769940,3100227.256800,0.968821
242,base,42,857153.822385,2383736.127916,0.744918
243,base,42,819659.847381,2169484.842175,0.677964
244,base,42,726048.348048,1634561.988844,0.510801
245,base,42,960670.248810,2975258.564631,0.929768
246,base,42,981217.807883,3092673.187903,0.966460
247,base,42,946612.178704,2894926.735453,0.904665
248,base,42,956478.133377,2951303.619298,0.922282
249,base,42,863965.369579,2422659.254738,0.757081
250,base,42,975683.999122,3061051.423556,0.956579
251,base,42,892139.806105,2583656.034884,0.807393
252,base,42,992044.624001,3154540.708576,0.985794
253,base,42,820487.018712,2174211.535499,0.679441
